spmin spmax rcmin rcmax Comment
4301 4301 60 100 CurrentNoiseAffectingtracesuBrms
4294 4294 30 70 CurrentNoiseAffectingtracesuBrms
4285 4285 1 40 CurrentNoiseAffectingtracesuBrmsTIMLineAcquisitionReport
4277 4277 110 140 CurrentNoiseAffectingtracesuBrms
4271 4271 80 110 CurrentNoiseAffectingtracesuBrms
4267 4267 60 90 CurrentNoiseAffectingtracesuBrms
4260 4260 40 70 CurrentNoiseAffectingtracesuBrms
4256 4256 140 180 CurrentNoiseAffectingtracesuBrms
4197 4197 140 180 CurrentNoiseAffectingtracesuBrms
3938 3938 1 50 CurrentNoiseAffectingtracesuBrms
3922 3922 1 80 CurrentNoiseAffectingtracesuBrms
3893 3893 50 100 CurrentNoiseAffectingtracesuBrms
3882 3882 30 110 CurrentNoiseAffectingtracesuBrms
3863 3863 60 110 CurrentNoiseAffectingtracesuBrms
3855 3855 60 180 CurrentNoiseAffectingtracesuBrmsTIMLineAcquisitionReport
3832 3832 120 180 CurrentNoiseAffectingtracesuBrms
3823 3823 140 220 CurrentNoiseAffectingtracesuBrms
3808 3808 160 250 CurrentNoiseAffectingtracesuBrms
3790 3790 60 100 CurrentNoiseAffectingtraces
3781 3781 1 60 CurrentNoiseAffectingtracesuBrms
3778 3778 160 200 CurrentNoiseAffectingtracesuBrms
3770 3770 120 160 CurrentNoiseAffectingtracesuBrms
3764 3764 100 140 CurrentNoiseAffectingtracesuBrms
3747 3747 20 60 CurrentNoiseAffectingtracesuBrms
